MatchPlayed,InningsBowled,EconomyRate,Wickets,BowlingAVG,3s,5s,CatchesTaken,Captaincy
14,14.0,8.19,14.0,30.42,2.0,0.0,4.0,0
86,85.0,8.74,85.0,30.44,5.0,2.0,24.0,0
2,2.0,11.4,0.0,0.0,0.0,0.0,0.0,0
61,60.0,8.89,67.0,27.86,5.0,0.0,17.0,0
45,43.0,8.27,40.0,30.9,2.0,0.0,11.0,0
3,3.0,11.38,4.0,23.25,0.0,0.0,0.0,0
3,3.0,8.0,2.0,48.0,0.0,0.0,0.0,0
12,12.0,7.93,12.0,29.75,1.0,0.0,1.0,0
5,5.0,8.68,5.0,33.0,0.0,0.0,0.0,0
42,41.0,7.44,43.0,25.97,3.0,0.0,11.0,0
5,5.0,8.57,5.0,30.6,0.0,0.0,1.0,0
23,23.0,6.96,24.0,25.25,3.0,0.0,4.0,0
5,5.0,11.29,3.0,64.0,0.0,0.0,1.0,0
68,66.0,7.9,59.0,27.28,2.0,0.0,14.0,0
28,28.0,8.47,17.0,48.7,0.0,0.0,6.0,0
62,62.0,8.39,76.0,26.09,5.0,0.0,23.0,0
50,50.0,8.38,50.0,28.74,3.0,0.0,16.0,0
17,16.0,8.88,12.0,38.5,0.0,0.0,9.0,0
